date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:12	4305/4305	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2008:02:41%20GMT	http://niehorster.org/040_yugoslavia/__yu.htm	F:/Projects/ExtractNiehorster/niehorster/niehorster/niehorster.org/040_yugoslavia/__yu.html	(from )
16:48:12	85/85	---M-Z	200	added ('OK')	text/plain	date:Sat,%2019%20Dec%202015%2014:59:50%20GMT	http://niehorster.org/robots.txt		(from )
16:48:13	217/217	---M--	200	added ('OK')	image/gif	date:Fri,%2027%20Feb%202015%2008:46:05%20GMT	http://niehorster.org/010_pix/buttons_small/901_home.gif	F:/Projects/ExtractNiehorster/niehorster/niehorster/niehorster.org/010_pix/buttons_small/901_home.gif	(from http://niehorster.org/040_yugoslavia/__yu.htm)
16:48:13	3793/3793	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Dec%202020%2011:47:14%20GMT	http://niehorster.org/040_yugoslavia/41-04-06/army.html	F:/Projects/ExtractNiehorster/niehorster/niehorster/niehorster.org/040_yugoslavia/41-04-06/army.html	(from http://niehorster.org/040_yugoslavia/__yu.htm)
16:48:13	3194/3194	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Dec%202020%2011:47:12%20GMT	http://niehorster.org/040_yugoslavia/41-04-06/airforce.html	F:/Projects/ExtractNiehorster/niehorster/niehorster/niehorster.org/040_yugoslavia/41-04-06/airforce.html	(from http://niehorster.org/040_yugoslavia/__yu.htm)
16:48:13	2866/2866	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Dec%202020%2011:47:12%20GMT	http://niehorster.org/040_yugoslavia/41-04-06/navy.html	F:/Projects/ExtractNiehorster/niehorster/niehorster/niehorster.org/040_yugoslavia/41-04-06/navy.html	(from http://niehorster.org/040_yugoslavia/__yu.htm)
16:48:14	27282/27282	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2008:04:38%20GMT	http://niehorster.org/040_yugoslavia/41_org/div-inf/div-inf.html	F:/Projects/ExtractNiehorster/niehorster/niehorster/niehorster.org/040_yugoslavia/41_org/div-inf/div-inf.html	(from http://niehorster.org/040_yugoslavia/__yu.htm)
16:48:14	6890/6890	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2008:03:52%20GMT	http://niehorster.org/040_yugoslavia/41_org/div-cav/_cav-div.html	F:/Projects/ExtractNiehorster/niehorster/niehorster/niehorster.org/040_yugoslavia/41_org/div-cav/_cav-div.html	(from http://niehorster.org/040_yugoslavia/__yu.htm)
16:48:15	2447/2447	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2008:03:52%20GMT	http://niehorster.org/040_yugoslavia/41_org/div-cav/cav-art-btty.html	F:/Projects/ExtractNiehorster/niehorster/niehorster/niehorster.org/040_yugoslavia/41_org/div-cav/cav-art-btty.html	(from http://niehorster.org/040_yugoslavia/__yu.htm)
16:48:15	3009/3009	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2008:03:42%20GMT	http://niehorster.org/040_yugoslavia/41_org/misc/tk-bn-01.html	F:/Projects/ExtractNiehorster/niehorster/niehorster/niehorster.org/040_yugoslavia/41_org/misc/tk-bn-01.html	(from http://niehorster.org/040_yugoslavia/__yu.htm)
